VIDEO;VIDEO;Amen Corner, The;Bend Me, Shape Me;Beat Club;09.03.68;Beat;29
VIDEO;VIDEO;Amen Corner, The;Half As Nice;Beat Club;Anfang 69;;
VIDEO;VIDEO;Andrews, Chris;Pretty Belinda;Beat Club;Anfang 69;;
VIDEO;VIDEO;Andrews, Chris;To Whom It Concerns;Beat Club 2;1966;Beat;
VIDEO;VIDEO;Andrews, Chris;Yesterday Man;Beat Club 2;1966;Beat;
VIDEO;VIDEO;Animals, The;Knock, Knock, Knockin';Beat Club 2;1966;R&BBeat;
VIDEO;VIDEO;Animals, The;See See Rider;Beat Club 2;1966;R&BBeat;
VIDEO;VIDEO;Animals, The;Shake, Rattle and Roll;Beat Club 2;1966;R&BBeat;
VIDEO;VIDEO;Arnold, P.P.;First Cut Is the Deepest;Beat Club;24.06.67;Beat;21
VIDEO;VIDEO;Association, The;Time For Living;Beat Club;22.06.68;US Vocalgroup;32
VIDEO;VIDEO;Baldry, Long John;Let The Heartaches Begin;Beat Club;13.01.68;R&B Blues;28
VIDEO;VIDEO;Beach Boys, The;Bluebirds Over the Mountain;Beat Club;Ende 68;;
VIDEO;VIDEO;Beach Boys, The;Break Away;Beat Club;Anfang 69;;
VIDEO;VIDEO;Beach Boys, The;California Girls;Beat Club;Anfang 69;;
VIDEO;VIDEO;Beach Boys, The;Do It Again;Beat Club;Anfang 69;;
VIDEO;VIDEO;Beach Boys, The;Surfin' USA;Beat Club;Mitte 69;;
VIDEO;VIDEO;Bee Gees, The;Massachusetts;Beat Club;25.11.67;Beat;26
VIDEO;VIDEO;Bee Gees, The;New York Mining Disaster;Beat Club;20.05.67;Beat;20
VIDEO;VIDEO;Bee Gees, The;To Love Somebody;Beat Club;23.09.67;Beat;24
VIDEO;VIDEO;Bee Gees, The;World;Beat Club;30.12.67;Beat;27
VIDEO;VIDEO;Black Sabbath;;Beat Club 2;1970;Heavy Metal;Farbe
VIDEO;VIDEO;Blue Cher, The;Summertime Blues;Beat Club;16.11.68;Heavy Metal;37
VIDEO;VIDEO;Bonney, Graham;Super Girl;Beat Club;28.05.66;PopBeat;8
VIDEO;VIDEO;Bonney, Graham;Thank You Baby;Beat Club;25.02.67;PopBeat;17
VIDEO;VIDEO;Boots, The;Gloria;Beat Club 2;22.01.66;German Beat;
VIDEO;VIDEO;Brown, Arthur;Fire;Beat Club;31.08.68;Progr.Rock;34
VIDEO;VIDEO;Byrds, The;Eight Miles High;Beat Club 2;1971;FolkRock;Farbe
VIDEO;VIDEO;Canned Heat;Let's work Together;Beat Club 2;1970;BluesRock;Farbe
VIDEO;VIDEO;Canned Heat;Long Way from L.A.;Beat Club 2;1971;BluesRock;Farbe
VIDEO;VIDEO;Canned Heat;On The Road Again;Beat Club;14.09.68;BluesRock;35
VIDEO;VIDEO;Casuals, The;Jesamine;Beat Club;12.10.68;US Beat;36
VIDEO;VIDEO;Chicago;Transit Authority;Beat Club 2;1970;BrassRock;Farbe
VIDEO;VIDEO;Christian, Neil (Crusaders);Two at a Time;Beat Club 2;1966;Beat;
VIDEO;VIDEO;Cliff, Jimmy;Give A Little, Take A Little;Beat Club;22.07.67;Soul;22
VIDEO;VIDEO;Cocker, Joe;Delta Lady;Beat Club 2;1969;SoulRock;
VIDEO;VIDEO;Cocker, Joe;With a little Help from My Friend;Beat Club;Ende 68;SoulRock;
VIDEO;VIDEO;Collins, Phil & Serious Band;In the Air Tonight;Knebworth  Event 1;1990;Art-Rock;
VIDEO;VIDEO;Collins, Phil & Serious Band;Sussudio;Knebworth  Event 1;1990;Art-Rock;
VIDEO;VIDEO;Conley, Arthur;Sweet Soul Music;Beat Club;14.09.68;Soul;35
VIDEO;VIDEO;Cooper, Alice;Get you under my Wear;Beat Club 2;1971;Heavy Metal;Farbe
VIDEO;VIDEO;Cream, The;I Fell Free;Beat Club;25.02.67;Supergroup;17
VIDEO;VIDEO;Cream, The;Strange Brew;Beat Club 2;1970;Supergroup;Farbe
VIDEO;VIDEO;Crease Band, The;Let it be Gone;Beat Club 2;1971;;Farbe
VIDEO;VIDEO;Creations, The;Painter Man;Beat Club;25.02.67;Beat;17
VIDEO;VIDEO;Cupid's Inspiration;Yesterday Has Gone;Beat Club;31.08.68;Pop;34
VIDEO;VIDEO;Davies, Dave;Death Of A Clown;Beat Club;22.07.67;Beat;22
VIDEO;VIDEO;Davies, Dave;Susannah's Still Alive;Beat Club;13.01.68;Beat;28
VIDEO;VIDEO;David & Jonathan;Lovers Of the world United;Beat Club 2;1966;SongDuo;
VIDEO;VIDEO;Davis Group, The (Spencer);Keep On Running;Beat Club;26.03.66;Beat;6
VIDEO;VIDEO;Dee,Dave Dozy Peaky Mick & Tich;Hide Away;Beat Club;28.05.66;Beat;8
VIDEO;VIDEO;Dee,Dave Dozy Peaky Mick & Tich;Hold Tight;Beat Club;28.05.66;Beat;8
VIDEO;VIDEO;Dee,Dave Dozy Peaky Mick & Tich;Last Night In Soho;Beat Club;31.08.68;Beat;34
VIDEO;VIDEO;Dee,Dave Dozy Peaky Mick & Tich;Legend Of Xanadoo;Beat Club;09.03.68;Beat;29
VIDEO;VIDEO;Deep Purple;Hallelajah;Beat Club 2;1969;HardRock;
VIDEO;VIDEO;Depres, Jack;Jazz Piano;Beat Club 2;1969;SwingPop;
VIDEO;VIDEO;Driscoll, Julie & Auger, Brian;This Wheels On Fire;Beat Club;22.06.68;PopChansons;32
VIDEO;VIDEO;Easybeats, The;Friday On My Mind;Beat Club;21.12.66;Beat;15
VIDEO;VIDEO;Easybeats, The;Good Times;Beat Club;16.11.68;Beat;37
VIDEO;VIDEO;Easybeats, The;Lovin' Machine;Beat Club 2;21.12.66;Beat;
VIDEO;VIDEO;Eileen;These Boots are made for Walking;Beat Club 2;1966;Schlager;
VIDEO;VIDEO;Equals, The;Baby Come Back;Beat Club;31.08.68;Beat;34
VIDEO;VIDEO;Equals, The;I Want Be There;Beat Club;25.02.67;Beat;17
VIDEO;VIDEO;Fame, Georgie;Ballad Of Bonnie & Clyde;Beat Club;09.03.68;Beat;29
VIDEO;VIDEO;Fleedwood Mac;Man Of the World;Beat Club;Anfang 69;Blues Pop;
VIDEO;VIDEO;Flower Pot Of Men;Let's Go To San Francisco;Beat Club;25.11.67;Flower Power;26
VIDEO;VIDEO;Gallagher, Rory;;Beat Club 2;1971;BluesRock;
VIDEO;VIDEO;Garrick, David;Dear Mrs. Applebee;Beat Club 2;1966;Pop;
VIDEO;VIDEO;Gerry & Pacemaker, The;Ferry Cross the Mersey;Beat Club;04.12.65;Merseybeat;3
VIDEO;VIDEO;Gerry & Pacemaker, The;Dizzy Miss Lizzy;Beat Club 2;1966;Merseybeat;
VIDEO;VIDEO;Gibb, Robin;Save by the Bell;Beat Club;Mitte 69;;
VIDEO;VIDEO;Go Go Girls;;Beat Club;12.10.68;;36
VIDEO;VIDEO;Hardin & York;;Beat Club 2;1970;BluesRock;Farbe
VIDEO;VIDEO;Heavens, Richie;Here Comes the Sun;Beat Club 2;1971;Pop Poet;Farbe
VIDEO;VIDEO;Heavens, Richie;Lady Madonna;Beat Club;Mitte 69;Pop Poet;
VIDEO;VIDEO;Herd, The;I Can't Fly;Beat Club;22.07.67;Beat;22
VIDEO;VIDEO;Herd, The;I Don't Want Our Loving To Die;Beat Club;22.06.68;Beat;32
VIDEO;VIDEO;Herd, The;Paradise Lost;Beat Club;13.01.68;Beat;28
VIDEO;VIDEO;Hollies, The;I Can't Let's Go;Beat Club;28.05.66;Beat;8
VIDEO;VIDEO;Hollies, The;Jennifer Ecels;Beat Club;06.09.68;Beat;30
VIDEO;VIDEO;Hollies, The;Look Through Any Window;Beat Club;28.05.66;Beat;8
VIDEO;VIDEO;Hollies, The;Sorry Susanne;Beat Club;Anfang 69;Beat;
VIDEO;VIDEO;Hollies, The;This Is It;Beat Club;16.11.68;Beat;37
VIDEO;VIDEO;Humble Pie;Natural Woman;Beat Club 2;1969;RockBlues;
VIDEO;VIDEO;Hunt, Marsha;Keep the Custumer Satisfied;Beat Club 2;1970;Soul;Farbe
VIDEO;VIDEO;Ian & Zodiacs (The);Face In the Ground;Beat Club 2;1966;Beat;
VIDEO;VIDEO;Ian & Zodiacs (The);Living Long Wreck;Beat Club 2;1966;Beat;
VIDEO;VIDEO;King, B.B.;Heartbreaker;Beat Club;09.03.68;Gitarre;29
VIDEO;VIDEO;Kinks, The;Mr. Plessant;Beat Club;20.05.67;Beat;20
VIDEO;VIDEO;Kinks, The;Plastic Man;Beat Club;Anfang 69;Beat;
VIDEO;VIDEO;Lee, Leapy;Little Arrows;Beat Club;14.09.68;Blue Eyed Soul;35
VIDEO;VIDEO;Liverbirds, The;Bread and Butter;Beat Club 2;1966;Merseybeat;
VIDEO;VIDEO;Liverbirds, The;Why don't you hang Around;Beat Club 2;1966;Merseybeat;
VIDEO;VIDEO;Lords, The;Greensleaves;Beat Club 2;28.05.66;German Beat;
